return_annual,volatility_annual,sharpe_ratio,weight_101207,weight_149323,weight_102887,weight_148568,weight_118633
0.14737212931795923,0.09918829044452936,1.4857815237815444,0.24641063008488476,3.475569461367022e-18,0.2907010053042074,0.03513479636738594,0.4277535682435219
0.15006612975423603,0.09490221115433183,1.581271162483196,0.2276788612306904,1.3486881163059266e-18,0.28754486093041337,0.06956786892814282,0.4152084089107534
0.15276013019048368,0.09105689358553677,1.6776338855331616,0.20895479983486892,3.1806979732278495e-18,0.2843857139229194,0.10400844258074642,0.4026510436614653
0.15545413062683702,0.08771032721350007,1.7723583478196177,0.1902144553875199,2.0507101627271423e-18,0.2812326322879529,0.13843320782831905,0.39011970449620814
0.15814813106307707,0.08492149667256009,1.8622861967784659,0.17148376602012533,0.0,0.2780730966450018,0.1728677440386745,0.37757539329619844
0.16084213149937987,0.08274553060368978,1.943816546052913,0.15354978484367512,0.0013626212876599836,0.2747368197755196,0.20519440857713092,0.36515636551601444
0.16353613193562466,0.08095305132818943,2.0201354890581893,0.1456973818773114,0.019986382181035864,0.26910754682442034,0.21081699725660882,0.35439169186062364
0.1662301323717667,0.07935477969433079,2.094771518641648,0.13785985141067947,0.03861979348676182,0.26347789493029933,0.2164330190324947,0.34360944113976455
0.16892413280804722,0.07796266076493455,2.1667312422464757,0.1300199357866273,0.05725209793618116,0.257847163412771,0.2220493258001451,0.3328314770642754
0.17161813324451444,0.07678790765125905,2.234963010373164,0.12218482787261167,0.07588703065481836,0.25221329714763757,0.2276649615370562,0.3220498827878762
0.17431213368075996,0.07584062174008856,2.2984006417845646,0.11433944194365166,0.09451620950529688,0.24658651830441114,0.23328226219357756,0.31127556805306283
0.17700613411714736,0.07512940783569982,2.3560166280591655,0.1064838811397904,0.11313822468830989,0.24096206698953698,0.23890494826017059,0.30051087892219214
0.1797001345534286,0.07466101258015209,2.4068804901421887,0.09864637785162589,0.13177252613823634,0.2353279705071492,0.2445197416492412,0.28973338385374736
0.1823941349897153,0.07444001980578895,2.4502160996944164,0.09080432035273156,0.1504031669476481,0.2296964904347222,0.2501376815007078,0.2789583407641904
0.1850881354260196,0.07446863208943308,2.4854509910124047,0.0829632371716443,0.16903479393651824,0.22406619909918202,0.2557542782517624,0.26818149154089305
0.18778213586227388,0.07474656280109271,2.512251116643035,0.07512347049566667,0.18766717247075618,0.2184332195852716,0.2613708787345285,0.257405258713777
0.19047613629860158,0.07527105021073943,2.5305364514686293,0.0672781310798962,0.20629559586153873,0.2128046507420398,0.2669900592507946,0.24663156306573075
0.19317013673483394,0.0760369924293322,2.5404757679541805,0.05943512965089252,0.22492571377689177,0.2071746697969451,0.27260802241999804,0.2358564643552725
0.1958641371711537,0.07703718779151549,2.542462189835092,0.0515923940767948,0.2435561130989354,0.2015446290934857,0.27822564662863364,0.22508121710215045
0.19855813760747087,0.07826265558152697,2.5370738589445248,0.04375356053630019,0.2621894764149629,0.19591727822777397,0.2838402517512913,0.2142994330696716
0.20125213804420516,0.07970300555862338,2.5250257080478558,0.03590776401650655,0.28081024145332606,0.19030116185964813,0.28947338102008047,0.20350745165043888
0.20394613847999013,0.08134682392807326,2.507118638833632,0.028058238422192024,0.2994421720259081,0.18465744480100477,0.2950834472639346,0.19275869748696045
0.20664013891644434,0.08318204923294856,2.4841914910963,0.020219798909729005,0.3180757928688358,0.1790249705121281,0.3006985855084652,0.18198085220084195
0.20933413935282816,0.0851963129234725,2.457079798052556,0.012375693412025874,0.3367057863093685,0.17339569661284424,0.3063156973534343,0.1712071263123272
0.21202813978907006,0.08737723401702478,2.4265833334545475,0.004532081100057607,0.3553345725918431,0.1677680163501616,0.3119355787061779,0.16042975125175976
0.21472214022520958,0.08971853998480364,2.39328616205278,0.0,0.3755936091102036,0.16022551623442285,0.3174378830839434,0.14674299157143014
0.21741614066146295,0.09225584800396057,2.356665136849961,0.0,0.39807784044045824,0.15006948927641917,0.3227907527372143,0.1290619175459084
0.22011014109778468,0.09498388746244456,2.317341887957718,0.0,0.4205623026660378,0.13991357576328495,0.3281431212018189,0.1113810003688584
0.22280414153403363,0.09788671297262058,2.2761428468473865,0.0,0.44304687618290606,0.12975769009162944,0.33349525182385453,0.09370018190161004
0.22549814197035511,0.10094924758650516,2.2337773421948675,0.0,0.4655315524602417,0.1196017858162,0.33884716899861184,0.07601949272494635
0.2281921424065797,0.10415740450181561,2.1908393694910284,0.0,0.4880163534927423,0.10944585257028293,0.34419882792441187,0.05833896601256293
0.23088614284298548,0.10749814672608057,2.14781510076926,0.0,0.5105013392641402,0.09928982881598207,0.3495501110580886,0.04065872086178927
0.23358014327912918,0.11095949936472799,2.105093701904175,1.1692785683106608e-18,0.5329865779170676,0.08913365883277172,0.35490088288126065,0.0229788803689
0.23627414371545089,0.11453052764312222,2.0629796140613488,0.0,0.5554721883805247,0.07897722743656936,0.3602509093912618,0.005299674791644273
0.23896814414849132,0.11822912391411025,2.0212290866850555,0.0,0.5807777540100542,0.05805247165460559,0.3611697743353403,0.0
